列1,列2,列3,列4,列5,列6,,,,
0.06,0.08,0.08,0.08,0.04,0.08,0.06,0.04,0.04,0.04
0.06,0.06,0.04,0.04,0.02,0.04,0.02,0.04,0.02,0.06
0.04,0.02,0.06,0.06,0.06,0.06,0.04,0.06,0.06,0.04
0.06,0.08,0.06,0.06,0.04,0.06,0.06,0.06,0.04,0.04
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.06
0.04,0.06,0.06,0.06,0.04,0.06,0.04,0.08,0.06,0.04
0,0.08,0.06,0.06,0.06,0.06,-0.11,-0.05,0.04,0.06
-0.4,0.06,0.12,0.12,0.06,0.12,-0.36,-0.4,0.06,0.04
-0.17,0.06,-0.49,-0.49,-0.03,-0.49,-0.19,-0.17,0.06,-0.32
-0.09,-0.47,-0.19,-0.19,-0.45,-0.19,-0.11,-0.11,-0.45,-0.3
-0.07,-0.22,-0.11,-0.11,-0.15,-0.11,-0.07,-0.07,-0.22,-0.15
-0.05,-0.13,-0.07,-0.07,-0.09,-0.07,-0.09,-0.05,-0.11,-0.11
-0.03,-0.07,-0.07,-0.07,-0.05,-0.07,0,-0.03,-0.09,-0.09
0,-0.03,0,0,-0.05,0,-0.03,0,-0.07,-0.03
0.02,-0.05,0,0,-0.05,0,0,0.04,-0.05,-0.03
0.06,0,0.02,0.02,0,0.02,0.08,0.08,0.02,-0.03
0.16,0.02,0.08,0.08,0.04,0.08,0.12,0.12,0,0.02
0.21,0.04,0.16,0.16,0.08,0.16,0.16,0.16,0.06,0.06
0.21,0.14,0.18,0.18,0.14,0.18,0.18,0.21,0.1,0.1
0.18,0.16,0.23,0.23,0.16,0.23,0.18,0.14,0.14,0.16
0.16,0.18,0.16,0.16,0.16,0.16,0.12,0.14,0.16,0.21
0.14,0.18,0.14,0.14,0.14,0.14,0.12,0.12,0.16,0.14
0.06,0.12,0.12,0.12,0.14,0.12,0.1,0.1,0.14,0.14
0.08,0.1,0.08,0.08,0.1,0.08,0.06,0.1,0.14,0.12
0.08,0.1,0.04,0.04,0.1,0.04,0.04,0.06,0.1,0.08
0.04,0.06,0.08,0.08,0.1,0.08,0.06,0.08,0.08,0.08
0.06,0.06,0.08,0.08,0.08,0.08,0.06,0.06,0.1,0.06
0.08,0.08,0.04,0.04,0.06,0.04,0.06,0.08,0.08,0.04
0.02,0.06,0.06,0.06,0.08,0.06,0.06,0.06,0.06,0.06
0.1,0.06,0.1,0.1,0.06,0.1,0.02,0.08,0.08,0.06
0.06,0.04,0.06,0.06,0.06,0.06,0.06,0.1,0.08,0.04
0.06,0.06,0.08,0.08,0.08,0.08,0.08,0.06,0.06,0.04
0.08,0.04,0.08,0.08,0.08,0.08,0.04,0.08,0.1,0.06
0.08,0.08,0.04,0.04,0.06,0.04,0.06,0.06,0.08,0.04
0.08,0.06,0.08,0.08,0.06,0.08,0.08,0.06,0.04,0.08
0.08,0.04,0.08,0.08,0.06,0.08,0.08,0.06,0.1,0.08
0.08,0.08,0.08,0.08,0.08,0.08,0.04,0.06,0.06,0.04
0.08,0.1,0.1,0.1,0.1,0.1,0.08,0.06,0.06,0.1
0.1,0.06,0.1,0.1,0.06,0.1,0.06,0.08,0.06,0.06
0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.1,0.04
0.06,0.06,0.12,0.12,0.08,0.12,0.08,0.08,0.06,0.08
0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.08,0.12,0.06
0.1,0.06,0.08,0.08,0.1,0.08,0.08,0.06,0.08,0.06
0.06,0.04,0.1,0.1,0.06,0.1,0.1,0.08,0.08,0.08
0.1,0.06,0.08,0.08,0.06,0.08,0.04,0.1,0.08,0.08
0.1,0.08,0.06,0.06,0.08,0.06,0.08,0.1,0.1,0.08
0.06,0.08,0.1,0.1,0.04,0.1,0.08,0.08,0.06,0.1
0.08,0.06,0.08,0.08,0.06,0.08,0.06,0.08,0.1,0.06
0.08,0.06,0.04,0.04,0.06,0.04,0.08,0.08,0.08,0.06
0.06,0.08,0.06,0.06,0.08,0.06,0.08,0.06,0.08,0.06
0.08,0.04,0.08,0.08,0.08,0.08,0.02,0.08,0.06,0.06
0.06,0.08,0.04,0.04,0.06,0.04,0.08,0.06,0.1,0.06
0.04,0.06,0.08,0.08,0.06,0.08,0.06,0.04,0.06,0.06
0.1,0.06,0.06,0.06,0.06,0.06,0.04,0.1,0.08,0.06
0.06,0.06,0.08,0.08,0.08,0.08,0.08,0.04,0.06,0.08
0.04,0.06,0.06,0.06,0.1,0.06,0.06,0.04,0.06,0.06
0.08,0.06,0.06,0.06,0.06,0.06,0.04,0.1,0.06,0.06
0.08,0.08,0.06,0.06,0.06,0.06,0.08,0.06,0.1,0.04
0.04,0.06,0.1,0.1,0.08,0.1,0.08,0.06,0.06,0.08
0.08,0.04,0.06,0.06,0.06,0.06,0.06,0.08,0.08,0.08
0.08,0.04,0.04,0.04,0.06,0.04,0.06,0.1,0.08,0.06
0.04,0.04,0.08,0.08,0.08,0.08,0.06,0.06,0.06,0.1
0.08,0.04,0.06,0.06,0.08,0.06,0.04,0.1,0.06,0.06
0.1,0.08,0.08,0.08,0.04,0.08,0.08,0.06,0.08,0.04
0.06,0.06,0.08,0.08,0.08,0.08,0.06,0.06,0.06,0.06
0.06,0.06,0.08,0.08,0.08,0.08,0.06,0.06,0.1,0.06
0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.08,0.04
0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.08
0.08,0.04,0.06,0.06,0.06,0.06,0.06,0.08,0.08,0.08
0.08,0.06,0.06,0.06,0.06,0.06,0.08,0.1,0.08,0.06
0.04,0.08,0.08,0.08,0.06,0.08,0.08,0.04,0.06,0.06
0.08,0.04,0.06,0.06,0.08,0.06,0.02,0.08,0.08,0.04
0.06,0.04,0.04,0.04,0.06,0.04,0.08,0.1,0.1,0.04
0.02,0.06,0.08,0.08,0.06,0.08,0.06,0.06,0.04,0.08
0.08,0.02,0.08,0.08,0.04,0.08,0.04,0.08,0.08,0.06
0.04,0.06,0.06,0.06,0.06,0.06,0.08,0.04,0.06,0.06
0.02,0.08,0.06,0.06,0.04,0.06,0.04,0.06,0.08,0.06
